ApplicationType_Limit raise,ApplicationType_New credit,LoanGoal_Car,LoanGoal_Caravan / Camper,LoanGoal_Existing loan takeover,LoanGoal_Extra spending limit,LoanGoal_Home improvement,LoanGoal_Motorcycle,LoanGoal_Not speficied,LoanGoal_Other see explanation,LoanGoal_Remaining debt home,LoanGoal_Unknown,LoanGoal_other,RequestedAmount,CreditScore,timesincefirstcase,duration,FirstWithdrawalAmount,MonthlyCost,NumberOfTerms,OfferedAmount,open_cases,month,weekday,hour,treatment
0,1,0,0,1,0,0,0,0,0,0,0,0,20000.0,979.0,0.0,13.24856619212963,20000.0,498.29,44.0,20000.0,815,1,3,9,1
0,1,0,0,0,0,1,0,0,0,0,0,0,10000.0,899.0,0.0173170833333333,6.134470196759259,500.0,200.0,33.0,6000.0,431,1,3,11,0
0,1,0,0,0,0,1,0,0,0,0,0,0,15000.0,1059.0,0.0613758449074074,12.819864479166666,15000.0,158.98,120.0,15000.0,790,1,2,12,1
0,1,1,0,0,0,0,0,0,0,0,0,0,5000.0,834.0,0.1136412847222222,26.988858738425925,3726.0,252.73,72.0,15700.0,1240,1,1,8,1
0,1,0,0,0,0,1,0,0,0,0,0,0,35000.0,899.0,0.1311233333333333,31.750190844907408,35000.0,366.08,120.0,35000.0,340,1,2,9,0
0,1,0,0,1,0,0,0,0,0,0,0,0,13000.0,899.0,0.1347750231481481,58.746862962962965,400.0,143.91,120.0,13000.0,36,1,5,11,0
0,1,0,0,1,0,0,0,0,0,0,0,0,7000.0,899.0,0.1465793287037037,8.101775706018518,8304.0,195.73,40.0,7000.0,511,1,4,12,1
0,1,0,0,0,0,1,0,0,0,0,0,0,15000.0,899.0,0.1556842361111111,9.830168831018518,328.0,211.9,84.0,15000.0,48,1,5,14,0
0,1,1,0,0,0,0,0,0,0,0,0,0,15000.0,799.0,0.1819532407407407,20.743227291666667,14007.0,282.96,60.0,15000.0,737,1,1,10,1
0,1,1,0,0,0,0,0,0,0,0,0,0,11000.0,899.0,0.1889586805555555,31.6925165625,8304.0,220.0,57.0,11000.0,54,1,5,15,0
0,1,0,0,0,0,0,0,0,1,0,0,0,5000.0,835.0,0.2023312962962963,25.77988731481481,8304.0,250.0,22.0,5000.0,1243,1,1,11,1
0,1,0,0,0,0,0,0,0,1,0,0,0,5000.0,899.0,0.2560885300925926,31.625412418981483,8304.0,120.0,94.0,9000.0,348,1,2,10,0
0,1,1,0,0,0,0,0,0,0,0,0,0,6850.0,1021.0,0.2719355208333333,9.721718530092591,6900.0,150.73,53.0,6900.0,533,1,4,15,1
0,1,0,0,1,0,0,0,0,0,0,0,0,29500.0,899.0,0.2969151736111111,58.58488043981482,8304.0,215.0,127.0,21500.0,53,1,5,15,0
0,1,0,0,0,0,1,0,0,0,0,0,0,6000.0,770.0,0.3007110532407407,10.82815900462963,6000.0,78.44,100.0,6000.0,674,1,0,12,1
0,1,0,0,0,0,0,0,0,0,1,0,0,40000.0,899.0,0.3024930439814814,31.57883414351852,8304.0,400.0,126.0,40000.0,54,1,5,15,0
0,1,1,0,0,0,0,0,0,0,0,0,0,5000.0,899.0,0.3383203009259259,9.80639949074074,8304.0,50.0,138.0,5000.0,633,1,0,7,0
0,1,0,0,0,0,0,0,1,0,0,0,0,5000.0,899.0,0.390301875,6.615548194444444,5000.0,153.68,36.0,5000.0,114,1,0,8,0
0,1,1,0,0,0,0,0,0,0,0,0,0,15000.0,899.0,0.3940820949074074,31.48731255787037,8304.0,150.0,127.0,15000.0,54,1,5,15,0
0,1,0,0,1,0,0,0,0,0,0,0,0,15000.0,1004.0,0.4744264814814815,12.724751493055557,12150.0,150.0,127.0,15000.0,494,1,4,8,0
0,1,0,0,0,0,0,0,1,0,0,0,0,17000.0,875.0,0.4812170138888889,51.53477481481482,8304.0,468.32,60.0,25000.0,1200,1,0,11,1
0,1,0,0,0,0,1,0,0,0,0,0,0,17000.0,899.0,0.5043396412037037,20.41531078703704,15000.0,274.92,62.0,15000.0,790,1,2,11,1
0,1,1,0,0,0,0,0,0,0,0,0,0,7000.0,899.0,0.6372021180555556,23.37815525462963,8304.0,247.52,80.0,0.0,384,1,2,17,0
0,1,1,0,0,0,0,0,0,0,0,0,0,5000.0,1063.0,0.9623421064814814,11.146514583333332,5000.0,119.02,48.0,5000.0,795,1,2,9,1
0,1,0,0,0,0,1,0,0,0,0,0,0,10000.0,899.0,0.9623645486111112,9.029532314814816,6000.0,284.0,57.0,14200.0,494,1,4,8,0
0,1,1,0,0,0,0,0,0,0,0,0,0,10000.0,899.0,0.9728261226851852,57.90900222222222,8304.0,120.0,58.0,6000.0,27,1,5,9,0
0,1,1,0,0,0,0,0,0,0,0,0,0,7500.0,899.0,0.98112,5.172225798611112,8304.0,200.0,42.0,7500.0,120,1,0,8,0
0,1,1,0,0,0,0,0,0,0,0,0,0,12000.0,899.0,0.9832007060185184,57.89864137731482,12000.0,298.1,45.0,12000.0,146,1,0,11,0
0,1,0,0,0,0,1,0,0,0,0,0,0,6000.0,899.0,0.9874525347222224,55.90472046296296,8304.0,247.52,80.0,0.0,432,1,3,12,0
0,1,1,0,0,0,0,0,0,0,0,0,0,6000.0,899.0,1.017046863425926,30.376992592592597,6000.0,148.24,46.0,6000.0,118,1,0,8,0
0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,809.0,1.024389675925926,24.97956480324074,27000.0,402.36,78.0,27000.0,1086,1,4,9,1
0,1,1,0,0,0,0,0,0,0,0,0,0,15000.0,899.0,1.0523589814814815,46.19662284722222,8304.0,150.0,127.0,15000.0,1786,2,0,13,1
0,1,0,1,0,0,0,0,0,0,0,0,0,6600.0,1018.0,1.0547340046296296,6.205361979166667,8304.0,140.0,87.0,10000.0,510,1,4,12,1
0,1,1,0,0,0,0,0,0,0,0,0,0,20000.0,812.0,1.0641413310185186,13.02409375,20000.0,200.0,127.0,20000.0,796,1,2,9,0
0,1,1,0,0,0,0,0,0,0,0,0,0,15000.0,899.0,1.0665110185185185,57.81549329861111,13164.0,282.96,60.0,15000.0,124,1,0,9,0
0,1,1,0,0,0,0,0,0,0,0,0,0,20000.0,899.0,1.0700386574074074,12.155671747685185,20000.0,200.0,127.0,20000.0,797,1,2,14,1
0,1,0,0,0,0,1,0,0,0,0,0,0,10000.0,895.0,1.0895322106481482,16.0280759375,8304.0,200.0,57.0,10000.0,790,1,2,13,1
0,1,1,0,0,0,0,0,0,0,0,0,0,6000.0,899.0,1.0925274537037035,9.952080069444444,8304.0,250.0,26.0,6000.0,647,1,0,9,1
1,0,0,0,1,0,0,0,0,0,0,0,0,9000.0,899.0,1.1065270486111112,9.992429513888888,1500.0,150.0,72.0,9000.0,639,1,0,8,0
1,0,0,0,0,0,0,0,0,1,0,0,0,15000.0,859.0,1.113768773148148,8.916883530092592,8304.0,200.0,89.0,15000.0,495,1,4,8,0
1,0,0,0,0,0,1,0,0,0,0,0,0,15000.0,899.0,1.1163234837962963,12.827995555555557,8304.0,300.0,56.0,15000.0,792,1,2,10,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,899.0,1.1273151851851853,32.754139224537035,8304.0,200.0,57.0,10000.0,495,1,4,8,0
0,1,0,0,1,0,0,0,0,0,0,0,0,15400.0,933.0,1.1331414930555554,29.79683473379629,4254.0,301.97,66.0,17400.0,1313,1,4,9,1
